Accounts,On/Off,Wine,Date,Address,Lat,Lon
Fahrenheit 132,on,Rosé,4/21,"328 William Street, Fredericksburg, VA 22401",38.3028665,-77.4612967
Irving Bottle,off,Petit Manseng,4/21,"155 Irving Ave, Brooklyn, NY 11237",40.7026833,-73.9205791
Thornton River Grille,on,Rosé,4/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Foothills,4/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Petit Manseng,4/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Chardonnay,4/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Eluvium,4/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Unwined King St,off,Rosé,4/21,"3690 King St., Alexandria, VA 22302",38.8296628,-77.0921948
Arrowine,Off,Rosé,4/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Young Wine,4/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Barrel Thief,on/off,Foothills,4/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Landini Brothers,on,Rosé,4/21,"115 King Street, Alexandria, VA 22314",38.8045307,-77.0409971
Market Street Wine Shop,off,Foothills,4/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
RichWine,off,Rosé,4/21,"2601 Maury Street, Richmond, VA 23224",37.5095,-77.4565725
RichWine,off,Foothills,4/21,"2601 Maury Street, Richmond, VA 23224",37.5095,-77.4565725
"Tyger, The",on,Petit Manseng,4/21,"1 Howard Street, New York, NY 10013",40.718902,-73.999442
Whole Foods - Old Town,on/off,Foothills,4/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - Pentagon City,on/off,Rosé,4/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8627722,-77.0549476
2941 Restaurant,On,Rosé,4/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Drink PLG,off,Five Forks,4/21,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Drink PLG,off,Young Wine,4/21,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Drink PLG,off,Foothills,4/21,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Each Peach Market,on/off,Foothills,4/21,"3068 Mt Pleasant St NW, Washington, DC 20009",38.928548,-77.0375272
Glen's Garden Market,on/off,Rosé,4/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
King Mother,on,Young Wine,4/21,"1205 Cortelyou Rd, Brooklyn, NY 11218",40.6403123,-73.9668565
Atlas Wine Merchants,on/off,Rosé,4/21,"1069 Bedford Avenue, Brooklyn, NY 11216",40.6874318,-73.954402
St. Vincent,on,Petit Manseng,4/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Swirl & Sip,Off,Rosé,4/21,"2905 District Ave. Ste. 112, Fairfax, VA 22031",38.8733231,-77.229401
Whole Foods - Arlington,on/off,Rosé,4/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Ashburn,on/off,Rosé,4/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Florida Ave,on/off,Rosé,4/21,"967 Florida Ave. NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Old Town,on/off,Rosé,4/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Clementine Cafe,on,Petit Manseng,4/21,"153 S Main St, Harrisonburg, VA 22801",38.4478062,-78.8692932
Clementine Cafe,on,Eluvium,4/21,"153 S Main St, Harrisonburg, VA 22801",38.4478062,-78.8692932
Fat Canary,on,Rosé,4/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Foothills,4/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Shenandoah Valley Cabernet Franc,4/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Eluvium,4/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
