Accounts,On/Off,Wine,Date,Address,Lat,Lon
RichWine,off,Rosé,07/21,"2601 Maury Street, Richmond, VA 23224",37.5102868,-77.4539729
Unwined - Belle View,off,Young Wine,07/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Unwined - Belle View,off,Young Wine,07/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Contento,on,Petit Manseng,07/21,"88 East 111th Street, Manhattan, NY 10003",40.7961654,-73.9461082
Vitis Fine Wine,Off,Young Wine,07/21,"1309 5th St NE #20, Washington, DC 20002",38.9085998,-76.997517
Whole Foods - Florida Ave,on/off,Rosé,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Florida Ave,on/off,Young Wine,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - South Capitol Hill,on/off,Rosé,07/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
All Purpose Pizzeria - Waterfront,On,Rosé,07/21,"79 Potomac Ave SE, Washington, DC 20003",38.8712174,-77.0068245
Ellwood Thompson,off,Young Wine,07/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Founding Farmers - Tyson's Corner,on,Rosé,07/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Locke Store,off,Rosé,07/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
NRG - Shelter,off,Young Wine,07/21,"1401 Pennsylvania Ave SE, Washington, DC 20003",38.8798036,-76.9852327
St. Vincent,on,Petit Manseng,07/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Vitis Fine Wine,Off,Young Wine,07/21,"1309 5th St NE #20, Washington, DC 20002",38.9085998,-76.997517
Whole Foods - Boro Tysons,on/off,Foothills,07/21,"1635 Boro Place, McLean, VA 22102",38.9245013,-77.233061
Whole Foods - P Street,on/off,Rosé,07/21,"1440 P Street NW, Washington, DC 20005",38.9092854,-77.0335078
Whole Foods - P Street,on/off,Five Forks,07/21,"1440 P Street NW, Washington, DC 20005",38.9092854,-77.0335078
Whole Foods - Pentagon City,on/off,Rosé,07/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - Pentagon City,on/off,Young Wine,07/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - Tysons,on/off,Rosé,07/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.9026076,-77.2050359
Whole Foods - Vienna,on/off,Five Forks,07/21,"143 Maple Ave East, Vienna, VA 22180",38.9022469,-77.2626957
Caboose,on/off,Rosé,07/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Caboose,on/off,Rosé,07/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Caboose,on/off,Young Wine,07/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Commune - Virginia Beach,on,Young Wine,07/21,"501 Virginia Beach Blvd. Ste. B, Virginia Beach, VA 23451",36.8441296,-75.9793877
Commune - Virginia Beach,on,Rosé,07/21,"501 Virginia Beach Blvd. Ste. B, Virginia Beach, VA 23451",36.8441296,-75.9793877
Commune - Virginia Beach,on,Young Wine,07/21,"501 Virginia Beach Blvd. Ste. B, Virginia Beach, VA 23451",36.8441296,-75.9793877
Fat Canary,on,Rosé,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Foothills,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Friendly City Food Co-op,off,Foothills,07/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,07/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
"Green Room, The",on,Rosé,07/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
Press 626,on,Petit Manseng,07/21,"626 West Olney Rd., Norfolk, VA 23507",36.8605378,-76.2996588
Taste - Bayville Farms,on/off,Foothills,07/21,"4097 Shore Drive, Virginia Beach, VA 23455",36.9059328,-76.1160943
Taste - Bayville Farms,on/off,Rosé,07/21,"4097 Shore Drive, Virginia Beach, VA 23455",36.9059328,-76.1160943
Taste - Hilltop,on/off,Rosé,07/21,"1554 Laskin Road, Suite 110, Virginia Beach, VA 23451",36.853651,-76.0153597
Taste - Hilltop,on/off,Foothills,07/21,"1554 Laskin Road, Suite 110, Virginia Beach, VA 23451",36.853651,-76.0153597
Vanderbilt Wine Merchants,off,Young Wine,07/21,"573 Vanderbilt Ave, Broooklyn, NY 11238",40.6805749,-73.9674951
Whole Foods - Virginia Beach,on/off,Rosé,07/21,"1800 Laskin Road, Virginia Beach, VA 23454",36.8509319,-76.0281576
2941 Restaurant,On,Rosé,07/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Arrowine,Off,Rosé,07/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
City Vino,Off,Pétillant Naturel Red,07/21,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
City Vino,Off,Five Forks,07/21,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
Dawson's Market Dupont Circle,on/off,Rosé,07/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Field & Main,on/off,Rosé,07/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Mi Casa Dupont,on,Rosé,07/21,"1647 20th Street NW, Washington, DC 20009",38.9124531,-77.0446456
Mom's Apple Pie - Hill High,off,Petit Manseng,07/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Organic Butcher of McLean,off,Foothills,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Shenandoah Valley Cabernet Franc,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Unwined - Belle View,off,Rosé,07/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Clay Restaurant,on,Rosé,07/21,"553 Manhattan Ave, Manhattan, NY 10027",40.809486,-73.9538229
White Moose Inn,on,Chardonnay,07/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
White Moose Inn,on,Foothills,07/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
Department of Beer & Wine,off,Rosé,07/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Foothills,07/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Foods of All Nations,off,Five Forks,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Foothills,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Heritage,on,Eluvium,07/21,"1627 W. Main St., Richmond, VA 23220",37.547646,-77.4621954
Landini Brothers,on,Rosé,07/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Libbie Market,off,Rosé,07/21,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Marigold by Jean Georges,on,Chardonnay,07/21,"Keswick Hall & Golf Club, Keswick, VA 22947",38.0167803,-78.3666045
Norm's Beer & Wine,off,Rosé,07/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Foothills,07/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Young Wine,07/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Unwined - King St,off,Rosé,07/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Whole Foods - Florida Ave,on/off,Rosé,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Florida Ave,on/off,Foothills,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Montgomery Co. Dept. of Liquor Control,on,Rosé,07/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
Amber Ox Kitchen & Brewery,on,Five Forks,07/21,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Amber Ox Kitchen & Brewery,on,Foothills,07/21,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Chain Bridge Cellars,off,Foothills,07/21,"1351 Chain Bridge Rd, McLean, VA 22101",38.9385421,-77.1746454
Crystal City Wine Shop,off,Rosé,07/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Foothills,07/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Farmers Fishers Bakers,On,Rosé,07/21,"3000 K Street NW, Washington, DC 20007",38.9025537,-77.0601033
Founding Farmers - Reston,on,Rosé,07/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
Montgomery Co. Dept. of Liquor Control,on,Rosé,07/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
Screwtop,on/off,Rosé,07/21,"1025 Fillmore St. N, Arlington, VA 22201",38.8859072,-77.0926894
Whole Foods - Arlington,on/off,Rosé,07/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Foggy Bottom,on/off,Rosé,07/21,"2201 I Street NW, Washington, DC 20037",38.9010776,-77.0490824
Whole Foods - Tysons,on/off,Five Forks,07/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.9026076,-77.2050359
Whole Foods - Tysons,on/off,Rosé,07/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.9026076,-77.2050359
Bloom,on,Shenandoah Valley Cabernet Franc,07/21,"1109 Main St. SW, Roanoke, VA 24015",37.264562,-79.958762
Broken Tulip,On,Rosé,07/21,"3129 W. Cary Street, Richmond, VA 23221",37.5532674,-77.481503
Corks & Kegs,off,Rosé,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Young Wine,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Young Wine,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Fat Canary,on,Chardonnay,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
"Green Room, The",on,Rosé,07/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
J Emerson,off,Five Forks,07/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Lucky,on,Chardonnay,07/21,"18 Kirk Ave SW, Roanoke, VA 24011",37.2709987,-79.9414035
Market Street Wine Shop,off,Young Wine,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Petit Manseng,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Newtown Baking,on/off,Rosé,07/21,"960 W Beverlely Street, Staunton, VA 24400",38.1498989,-79.0827541
Primland Resort,on,Shenandoah Valley Cabernet Franc,07/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6617827,-80.4318697
River and Rail,on,Chardonnay,07/21,"2201 Crystal Spring Ave. SW, Roanoke, VA 24014",37.2487077,-79.9468159
River and Rail,on,Rosé,07/21,"2201 Crystal Spring Ave. SW, Roanoke, VA 24014",37.2487077,-79.9468159
Roanoke Natural Foods Co-op,off,Foothills,07/21,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Second Bottle Wine,off,Five Forks,07/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Whole Foods - Charlottesville,on/off,Young Wine,07/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Wool Factory,on/off,Foothills,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Rosé,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
2941 Restaurant,On,Rosé,07/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Centrolina,On,Rosé,07/21,"974 Palmer Alley NW, Washington, DC 20001",38.9002695,-77.0255203
Kogod Liquor,off,Young Wine,07/21,"441 New Jersey Ave NW, Washington, DC 20001",38.8959699,-77.0109473
La Fromagerie,on/off,Chardonnay,07/21,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Odd Provisions,off,Rosé,07/21,"3301 11th Street NW, Washington, DC 20010",38.9309006,-77.0278015
Organic Butcher of McLean,off,Rosé,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Thornton River Grille,on,Rosé,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Petit Manseng,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Eluvium,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Arrowine,Off,Rosé,07/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Bottleworks,Off,Chardonnay,07/21,"3078 Stony Point Rd., Richmond, VA 23235",37.537796,-77.5651916
Clifton Inn,on,Rosé,07/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Clifton Inn,on,Foothills,07/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Clifton Inn,on,Five Forks,07/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Dominion Wine and Beer,on/off,Foothills,07/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
"Eastern, The",On,Young Wine,07/21,"360 7th ST SE, Washington, DC 20003",38.885362,-76.995888
Greenwood,off,Rosé,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Greenwood,off,Five Forks,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Greenwood,off,Pétillant Naturel White,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Landini Brothers,on,Rosé,07/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Libbie Market,off,Rosé,07/21,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Perch,on,Petit Manseng,07/21,"2918 W. Broad Street, Richmond, VA 23230",37.5640539,-77.4719183
Rio Hill Wine & Beer,off,Rosé,07/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Rio Hill Wine & Beer,off,Young Wine,07/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Whole Foods - Florida Ave,on/off,Rosé,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Florida Ave,on/off,Five Forks,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Old Town,on/off,Rosé,07/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - Old Town,on/off,Five Forks,07/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - Tenley,on/off,Foothills,07/21,"4530 40th Street NW, Washington, DC 20016",38.9490789,-77.0792007
Dawson's Market Dupont Circle,on/off,Rosé,07/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Ecco Adesso,on,Rosé,07/21,"340 Ecco Adesso Lane, Fairfield, VA 24435",37.8358967,-79.3078488
Ecco Adesso,on,Shenandoah Valley Cabernet Franc,07/21,"340 Ecco Adesso Lane, Fairfield, VA 24435",37.8358967,-79.3078488
Farmers & Distillers,On,Rosé,07/21,"600 Massachusetts Ave. NW, Washington, DC 20001",38.9013601,-77.0208105
Founding Farmers - DC,on,Rosé,07/21,"1924 Pennsylvania Ave. NW, Washington, DC 20006",38.8999959,-77.0443929
Founding Farmers - Reston,on,Rosé,07/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
Oyster Oyster,on,Pétillant Naturel White,07/21,"1440 8th Street NW, Washington, DC 20001",38.9093214,-77.0231821
Reveler's Hour,on,Petit Manseng,07/21,"1775 Columbia Road NW, Washington, DC 20009",38.9235097,-77.0420765
St. Vincent,on,Petit Manseng,07/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Whole Foods - Arlington,on/off,Five Forks,07/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Ashburn,on/off,Foothills,07/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Florida Ave,on/off,Young Wine,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - H Street,on/off,Young Wine,07/21,"600-A H Street, NE, Washington, DC 20002",38.9005142,-76.9976267
Wine Kitchen of Leesburg,on,Foothills,07/21,"7 S King St, Leesburg, VA 20175",39.1152081,-77.5648695
Fat Canary,on,Foothills,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Young Wine,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Foods of All Nations,off,Chardonnay,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Five Forks,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Petit Manseng,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Market Street Wine Shop,off,Rosé,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Now & Zen,on,Young Wine,07/21,"Pinnacle Planning Inc, Charlottesville, VA 22902",37.99295,-78.502142
Nuttall's Store,off,Rosé,07/21,"6495 Ware Neck Road, Gloucester, VA 23178",37.4027103,-76.458794
Nuttall's Store,off,Five Forks,07/21,"6495 Ware Neck Road, Gloucester, VA 23178",37.4027103,-76.458794
Taste - Harbour View,on/off,Foothills,07/21,"5911 Harbour View Blvd Suite 100, Suffolk, VA 23435",36.8775444,-76.4384889
Taste - Oceanfront,on/off,Rosé,07/21,"3603 Pacific Avenue, Virginia Beach, VA 23451",36.8641917,-75.9803595
Veil Brewing Co - Norfolk,on,Shenandoah Valley Cabernet Franc,07/21,"2314 Colonial Ave, Norfolk, VA 23517",36.8712565,-76.2906989
Whole Foods - Charlottesville,on/off,Rosé,07/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Newport News,on/off,Five Forks,07/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1017661,-76.4913026
Whole Foods - Short Pump,on/off,Foothills,07/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Wool Factory,on/off,Five Forks,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Chardonnay,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Petit Manseng,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Shenandoah Valley Cabernet Franc,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Young Wine,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Young Wine,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Duplex Diner,on,Rosé,07/21,"2004 18th St, NW, Washington, DC 20009",38.9172194,-77.0418854
Fancy Radish,On,Rosé,07/21,"600 H St, NE, Washington, DC 20002",38.9005142,-76.9976267
Mom's Apple Pie - Occoquan,off,Young Wine,07/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Thornton River Grille,on,Rosé,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Unwined - Belle View,off,Rosé,07/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Friendly City Food Co-op,off,Rosé,07/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Greenwood,off,Eluvium,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Landini Brothers,on,Rosé,07/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Market Street Wine Shop,off,Foothills,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Petit Manseng,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Unwined - King St,off,Rosé,07/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Whole Foods - Arlington,on/off,Young Wine,07/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Arlington,on/off,Rosé,07/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Florida Ave,on/off,Rosé,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Old Town,on/off,Rosé,07/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - P Street,on/off,Rosé,07/21,"1440 P Street NW, Washington, DC 20005",38.9092854,-77.0335078
Whole Foods - Pentagon City,on/off,Rosé,07/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - South Capitol Hill,on/off,Rosé,07/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - South Capitol Hill,on/off,Five Forks,07/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Bloom,on,Shenandoah Valley Cabernet Franc,07/21,"1109 Main St. SW, Roanoke, VA 24015",37.264562,-79.958762
Founding Farmers - Reston,on,Rosé,07/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
Founding Farmers - Tyson's Corner,on,Rosé,07/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Friendly City Food Co-op,off,Rosé,07/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
NRG - Planet Wine,off,Rosé,07/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Open Road Salt,on,Rosé,07/21,"1201 Wilson Blvd Ste.113 & 213, Arlington, VA 22209",38.895595,-77.0712076
Roanoke Natural Foods Co-op,off,Rosé,07/21,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Vanderbilt Wine Merchants,off,Young Wine,07/21,"573 Vanderbilt Ave, Broooklyn, NY 11238",40.6805749,-73.9674951
Whole Foods - Ashburn,on/off,Rosé,07/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Fair Lakes,on/off,Rosé,07/21,"4501 Market Commons Drive, Fairfax, VA 22033",38.8578497,-77.377751
Whole Foods - Reston,on/off,Five Forks,07/21,"11660 Plaza America Drive, Reston, VA 20190",38.9517757,-77.3494016
Whole Foods - Vienna,on/off,Rosé,07/21,"143 Maple Ave East, Vienna, VA 22180",38.9022469,-77.2626957
Crystal Palate,off,Chardonnay,07/21,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Fat Canary,on,Rosé,07/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
"Green Room, The",on,Young Wine,07/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
Ivy Inn,on,Petit Manseng,07/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
Ivy Inn,on,Five Forks,07/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
J Emerson,off,Foothills,07/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Prosperity Kitchen & Pantry,on,Foothills,07/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Prosperity Kitchen & Pantry,on,Young Wine,07/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Rio Hill Wine & Beer,off,Eluvium,07/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Roosevelt,on,Foothills,07/21,"623 N. 25th St., Richmond, VA 23223",37.534897,-77.4154189
Whole Foods - Charlottesville,on/off,Five Forks,07/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Newport News,on/off,Rosé,07/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1017661,-76.4913026
Whole Foods - Short Pump,on/off,Foothills,07/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Rosé,07/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - West Broad,on/off,Rosé,07/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Wine Seller - Williamsburg,off,Rosé,07/21,"4680 Monticello Ave Suite 15, Williamsburg, VA 23188",37.2719211,-76.7595155
Wool Factory,on/off,Five Forks,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Young Wine,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Young Wine,07/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,07/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Field & Main,on/off,Rosé,07/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Locke Store,off,Rosé,07/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Maxwell Park - Shaw,on,Pétillant Naturel Red,07/21,"1336 9th St. NW, Washington, DC 20001",38.9084202,-77.0242187
Mom's Apple Pie - Hill High,off,Young Wine,07/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
NRG - Shelter,off,Young Wine,07/21,"1401 Pennsylvania Ave SE, Washington, DC 20003",38.8798036,-76.9852327
Organic Butcher of McLean,off,Rosé,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Five Forks,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Young Wine,07/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Oyster Oyster,on,Pétillant Naturel White,07/21,"1440 8th Street NW, Washington, DC 20001",38.9093214,-77.0231821
Thornton River Grille,on,Rosé,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
